serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
95143,,Sukhoi SuperJet 100,100-95LR,25/09/2017,2.5,89091,SaM146,2,RA-89091,12/05/2018,Yamal Airlines,lsd from GTLK,Active
95144,,Sukhoi SuperJet 100,100-95B,03/10/2017,2.5,89104,SaM146,2,RA-89104,30/12/2017,Aeroflot,Named V. Astafiev,Active
95145,,Sukhoi SuperJet 100,100-95B,11/10/2017,2.5,89105,SaM146,2,RA-89105,29/01/2018,Aeroflot,Named Vasily Zhukovsky,Active
95146,,Sukhoi SuperJet 100,100-95B,19/10/2017,2.5,89106,SaM146,2,RA-89106,30/01/2018,Aeroflot,Named V. Kaverin,Active
95147,,Sukhoi SuperJet 100,100-95B,27/10/2017,2.5,89107,SaM146,2,RA-89107,13/02/2018,Aeroflot,Named L. Kassil,Active
95148,,Sukhoi SuperJet 100,100-95B,06/11/2017,2.4,89108,SaM146,2,RA-89108,01/02/2018,Aeroflot,Named  V. Aksenov,Active
95149,,Sukhoi SuperJet 100,100-95LR,13/11/2017,2.4,89092,SaM146,2,RA-89092,25/04/2018,Yamal Airlines,Lsd From Gtlk,Active
95150,,Sukhoi SuperJet 100,100-95LR,23/11/2017,2.4,89093,SaM146,2,RA-89093,12/03/2018,Azimuth,Lsd From Gtlk  Named  Neva,Active
95151,,Sukhoi SuperJet 100,100-95B,28/11/2017,2.4,89109,SaM146,2,RA-89109,27/08/2018,Aeroflot,Named Vasily Vereshchagin,Active
95152,,Sukhoi SuperJet 100,100-95LR,06/12/2017,2.3,89096,SaM146,2,RA-89096,11/04/2018,Azimuth,Lsd From Gtlk  Named  Moscow,Active
95153,,Sukhoi SuperJet 100,100-95LR,14/12/2017,2.3,89094,SaM146,2,RA-89094,30/03/2018,Azimuth,Lsd From Gtlk  Named Kuban,Active
95153,,Sukhoi SuperJet 100,100-95LR,14/12/2017,2.3,89094,SaM146,2,RA-89094,30/03/2018,Azimuth,Lsd From Gtlk  Named Kuban,Active
