serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
7739,,Airbus A321,321-231,05/09/2017,2.6,F-WZML,IAE V2533-A5,2,N983JT,22/09/2017,JetBlue Airways,Named M*i*n*t,Active
7741,,Airbus A321,321-232,06/07/2017,2.8,D-AVXE,IAE V2530-A5,2,B-8595,18/07/2017,Air China,,Active
7746,,Airbus A321,321-251N,23/06/2017,2.8,D-AVXH,CFMI LEAP-1A,2,SE-RKA,29/06/2017,Novair,"08 feb 2019 -  Damaged after hard landing in Billund Airport,Back in service 05/2019 Leased From Air Lease Corporation",Active
7749,,Airbus A321,321-211,26/06/2017,2.8,D-AVXI,CFMI CFM56-5B3/P,2,VP-BFX,08/07/2017,Aeroflot,Named I. Shishkin,Active
7752,,Airbus A321,321-231,24/06/2017,2.8,D-AVXO,IAE V2533-A5,2,B-8587,28/06/2017,Juneyao Airlines,,Active
7754,,Airbus A321,321-231,03/07/2017,2.8,F-WHUE,IAE V2533-A5,2,HL7210,11/08/2017,Air Busan,Lsd From Icbc Ex F-WHUE,Active
7756,,Airbus A321,321-231,01/09/2017,2.6,F-WZMM,IAE V2533-A5,2,N909AM,15/09/2017,American Airlines,,Active
7758,,Airbus A321,321-211,30/06/2017,2.8,D-AZAD,CFMI CFM56-5B3/P,2,B-8979,05/07/2017,China Eastern Airlines,,Active
7759,,Airbus A321,321-211,29/06/2017,2.8,D-AZAE,CFMI CFM56-5B3/P,2,B-8567,08/07/2017,China Eastern Airlines,,Active
7759,,Airbus A321,321-211,29/06/2017,2.8,D-AZAE,CFMI CFM56-5B3/P,2,B-8567,08/07/2017,China Eastern Airlines,,Active
7763,,Airbus A321,321-231,11/07/2017,2.8,D-AZAH,IAE V2533-A5,2,HA-LXU,03/08/2017,Wizz Air,,Active
7765,,Airbus A321,321-211,10/07/2017,2.8,D-AZAI,CFMI CFM56-5B3/P,2,N324DX,18/07/2017,Delta Air Lines,,Active
7769,,Airbus A321,321-211,11/08/2017,2.7,D-AZAJ,CFMI CFM56-5B3/P,2,B-8993,23/08/2017,China Southern Airlines,,Active
7770,,Airbus A321,321-253N,05/09/2017,2.6,D-AZAL,CFMI LEAP-1A33,2,N759AV,21/09/2017,Avianca,,Active
7774,,Airbus A321,321-232,24/07/2017,2.7,D-AZAF,IAE V2530-A5,2,B-8585,03/08/2017,Air China,,Active
7775,,Airbus A321,321-231,17/07/2017,2.7,D-ZAQ,IAE V2533-A5,2,N908AA,27/07/2017,American Airlines,,Active
7777,,Airbus A321,321-211,15/07/2017,2.7,,CFMI CFM56-5B3/P,2,N327DN,02/10/2017,Delta Air Lines,Lsd From Goshawk Aviation,Active
7782,,Airbus A321,321-211,11/09/2017,2.6,D-AZAR,CFMI CFM56-5B3/P,2,VP-BKR,22/09/2017,Aeroflot,Named S.rachmaninoff  Lsd From Aviaam Leasing,Active
7783,,Airbus A321,321-231,11/07/2017,2.8,F-WXAJ,IAE V2533-A5,2,B-8389,19/08/2017,Tianjin Airlines,Lsd From Calc,Active
7787,,Airbus A321,321-211,19/07/2017,2.7,D-AZAK,CFMI CFM56-5B3/P,2,B-8561,28/07/2017,China Eastern Airlines,,Active
7793,,Airbus A321,321-211,14/09/2017,2.6,D-AZAM,CFMI CFM56-5B3/P,2,B-8568,23/09/2017,China Eastern Airlines,,Active
7798,,Airbus A321,321-231,28/09/2017,2.5,F-WZMO,IAE V2533-A5,2,N985JT,26/10/2017,JetBlue Airways,Named Minterial Girl,Active
7801,,Airbus A321,321-211,04/08/2017,2.7,D-AZAN,CFMI CFM56-5B3/P,2,VP-BKQ,16/08/2017,Aeroflot,Named Dmitri Mendeleev  Lsd From Aviaam,Active
7807,,Airbus A321,321-251N,05/08/2017,2.7,,CFMI LEAP-1A,2,SE-RKB,10/08/2017,Novair,Lsd From Alc,Active
7810,,Airbus A321,321-211,03/08/2017,2.7,D-AVZD,CFMI CFM56-5B3/P,2,B-8686,10/08/2017,Sichuan Airlines,,Active
7815,,Airbus A321,321-231,09/08/2017,2.7,D-AVZE,IAE V2533-A5,2,N982JB,17/08/2017,JetBlue Airways,"Named One Mint,two Mint,blue Mint,you Mint",Active
7818,,Airbus A321,321-211,14/08/2017,2.7,D-AVZF,CFMI CFM56-5B3/P,2,B-8995,23/08/2017,China Southern Airlines,,Active
7820,,Airbus A321,321-231,03/08/2017,2.7,D-AVZG,IAE V2533-A5,2,B-1001,11/08/2017,Juneyao Airlines,,Active
7821,,Airbus A321,321-231,26/07/2017,2.7,D-AVXD,IAE V2533-A5,2,B-LEE,18/08/2017,Hong Kong Express Airways,Named Siu Loong   Lsd From Bocomm Leasing,Active
7825,,Airbus A321,321-231,16/10/2017,2.5,F-WZMP,IAE V2533-A5,2,N679NK,25/10/2017,Spirit Airlines,,Active
7826,,Airbus A321,321-231,23/09/2017,2.6,D-AVXG,IAE V2533-A5,2,HA-LXV,29/09/2017,Wizz Air,,Active
7830,,Airbus A321,321-211,21/08/2017,2.6,D-AVXL,CFMI CFM56-5B3/P,2,B-8569,30/08/2017,China Eastern Airlines,,Active
7831,,Airbus A321,321-231,09/08/2017,2.7,D-AVXN,IAE V2533-A5,2,B-LEF,18/08/2017,Hong Kong Express Airways,Lsd From Bocomm Leasing,Active
7833,,Airbus A321,321-211,24/08/2017,,D-AVXQ,CFMI CFM56-5B3/P,2,XA-ZEN,02/09/2017,Interjet,Returned to lessor 03/2020Lsd From Acg,Stored
7839,,Airbus A321,321-272N,25/08/2017,,D-AVXR,PW PW1130G,2,JA131A,06/09/2017,All Nippon Airways,,c
7840,,Airbus A321,321-211,18/10/2017,2.5,F-WZMQ,CFMI CFM56-5B3/P,2,N328DN,01/11/2017,Delta Air Lines,,Active
7845,,Airbus A321,321-211,11/09/2017,2.6,D-AVXS,CFMI CFM56-5B3/P,2,N326DN,23/09/2017,Delta Air Lines,,Active
7847,,Airbus A321,321-253N,22/09/2017,2.6,,CFMI LEAP-1A33,2,N761AV,04/10/2017,Avianca,,Active
7852,,Airbus A321,321-211,02/10/2017,2.5,321-211,CFMI CFM56-5B3/P,2,N720FR,11/10/2017,Frontier Airlines,Named  Crockett The Raccoon,Active
